conditions,drug,indication,type,effective,easeofuse,satisfaction
Acute Bacterial Sinusitis,Levofloxacin,On Label,RX,2.52,3.01,1.84
Acute Bacterial Sinusitis,Levofloxacin,On Label,RX,2.52,3.01,1.84
Acute Bacterial Sinusitis,Moxifloxacin,On Label,RX,2.78,3,2.08
Acute Bacterial Sinusitis,Azithromycin,On Label,RX,3.21,4.01,2.57
Acute Bacterial Sinusitis,Azithromycin,On Label,RX,3.21,4.01,2.57
Acute Bacterial Sinusitis,Azithromycin,On Label,RX,3.21,4.01,2.57
Acute Bacterial Sinusitis,Azithromycin,On Label,RX,3.21,4.01,2.57
Acute Bacterial Sinusitis,Azithromycin,On Label,RX,3.21,4.01,2.57
Acute Bacterial Sinusitis,Amoxicillin-Pot Clavulanate,On Label,RX,3.26,3.23,2.42
Acute Bacterial Sinusitis,Amoxicillin-Pot Clavulanate,On Label,RX,3.26,3.23,2.42
Acute Bacterial Sinusitis,Amoxicillin-Pot Clavulanate,On Label,RX,3.26,3.23,2.42
Acute Bacterial Sinusitis,Levofloxacin,On Label,RX,2.44,2.96,1.68
Acute Bacterial Sinusitis,Levofloxacin,On Label,RX,2.44,2.96,1.68
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,3.04,3.37,2.34
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,3.04,3.37,2.34
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,3.04,3.37,2.34
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,3.04,3.37,2.34
Acute Bacterial Sinusitis,Clarithromycin,On Label,RX,3,3.4,2.18
Acute Bacterial Sinusitis,Clarithromycin,On Label,RX,3,3.4,2.18
Acute Bacterial Sinusitis,Clarithromycin,On Label,RX,3,3.4,2.18
Acute Bacterial Sinusitis,Amoxicillin-Pot Clavulanate,On Label,RX,2.74,3.04,2.12
Acute Bacterial Sinusitis,Amoxicillin-Pot Clavulanate,On Label,RX,2.74,3.04,2.12
Acute Bacterial Sinusitis,Amoxicillin-Pot Clavulanate,On Label,RX,2.74,3.04,2.12
Acute Bacterial Sinusitis,Amoxicillin-Pot Clavulanate,On Label,RX,2.74,3.04,2.12
Acute Bacterial Sinusitis,Erythromycin,On Label,RX,2.11,2.79,1.32
Acute Bacterial Sinusitis,Erythromycin,On Label,RX,2.11,2.79,1.32
Acute Bacterial Sinusitis,Amoxicillin-Pot Clavulanate,Off Label,RX,3.29,3.47,2.59
Acute Bacterial Sinusitis,Clarithromycin,On Label,RX,3.29,3.71,2.86
Acute Bacterial Sinusitis,Levofloxacin,On Label,RX,3.29,4.43,3
Acute Bacterial Sinusitis,Azithromycin,On Label,RX,4,4.5,3.7
Acute Bacterial Sinusitis,Erythromycin,On Label,RX,3.8,4,3.4
Acute Bacterial Sinusitis,Ampicillin,On Label,RX,3,3.25,3
Acute Bacterial Sinusitis,Moxifloxacin,On Label,RX,3.33,3.33,3
Acute Bacterial Sinusitis,Erythromycin Stearate,On Label,RX,3,2.8,2.2
Acute Bacterial Sinusitis,Erythromycin Ethylsuccinate,On Label,RX,3.25,2.75,3
Acute Bacterial Sinusitis,Erythromycin Ethylsuccinate,On Label,RX,3.25,2.75,3
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,2.33,3.67,3
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,2.33,3.67,3
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,2.33,3.67,3
Acute Bacterial Sinusitis,Moxifloxacin,On Label,RX,2.5,3.5,2.5
Acute Bacterial Sinusitis,Moxifloxacin-Sod.Chloride(Iso),On Label,RX,2.33,2.33,2
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,3,5,3
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,3,5,3
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,3,5,3
Acute Bacterial Sinusitis,Erythromycin Stearate,On Label,RX,5,4,5
Acute Bacterial Sinusitis,Erythromycin Ethylsuccinate,On Label,RX,1,1,1
Acute Bacterial Sinusitis,Clarithromycin,On Label,RX,5,4,4.5
Acute Bacterial Sinusitis,Erythromycin Ethylsuccinate,On Label,RX,4,4,4
Acute Bacterial Sinusitis,Erythromycin Ethylsuccinate,On Label,RX,4,4,4
Acute Bacterial Sinusitis,Erythromycin,On Label,RX,5,2,4
Acute Bacterial Sinusitis,Ampicillin Sodium,Off Label,RX,5,5,5
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,5,1,1
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,5,1,1
Acute Bacterial Sinusitis,Ampicillin,On Label,RX,3,2,1
Acute Bacterial Sinusitis,Erythromycin Stearate,On Label,RX,4,4,4
Acute Bacterial Sinusitis,Ampicillin Sodium,Off Label,RX,1,1,1
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,5,5,5
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,5,5,5
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,5,5,5
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,5,5,5
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,4,4,5
Acute Bacterial Sinusitis,Erythromycin Ethylsuccinate,On Label,RX,5,4,5
Acute Bacterial Sinusitis,Erythromycin Ethylsuccinate,On Label,RX,1,1,1
Acute Bacterial Sinusitis,Erythromycin Ethylsuccinate,On Label,RX,3,3,3
Acute Bacterial Sinusitis,Erythromycin Ethylsuccinate,On Label,RX,5,4,5
adenocarcinoma of pancreas,Capecitabine,Off Label,RX,3.75,3.78,3.62
adenocarcinoma of pancreas,Cisplatin,Off Label,RX,4.27,3.45,3.45
adenocarcinoma of pancreas,Oxaliplatin,Off Label,RX,4,2.8,2.8
